    i         j         da           db            dc        Jij          Dij           Dijx            Dijy          Dijz
    0         0         -1            0             0         -6          0.02          0.00            0.06          0.00
    0         0          1            0             0         -6          0.02         -0.00           -0.06         -0.00
    0         0          0           -1             0         -6          0.02         -0.06            0.00          0.00 
    0         0          0            1             0         -6          0.02          0.06           -0.00         -0.00
    0         0         -1           -1             0          2          0.08         -0.02            0.06         -0.00
    0         0         -1            1             0          2          0.08          0.02            0.06         -0.00
    0         0          1           -1             0          2          0.08         -0.02           -0.06          0.00
    0         0          1            1             0          2          0.08          0.02           -0.06          0.00 

  
